grief,"grief, grip, grippe, grippel",gegraven lange en smalle afvoer voor water
wadi,,"rivierbedding of waterberging in een droog gebied, die alleen na regenval volstroomt"
wiver,"vijver, vivere, waterkom, wiver","aangelegde plas in een park, bos of tuin"
vathe,"vaat, vaete, vate, vathe","dorpsvijver,drinkvijver voor het vee en reservoir voor de brandweer"
sprank,"sprank, sprangader, spreng, sprengebeek",een door mensen gegraven of verlegde beek gevoed door kwelwater
grubbe,"grub, grubbe, grup, gruppe",gegraven lange en smalle afvoer voor water
opvaart,,waterweg in een vaarpolder waar boerderijen alleen over het water te bereiken zijn en die de boerderij met de doorgaande watergangen verbindt
zwetsloot,"zwet, zwetsloot, zwette",wending in een waterloop
waterkuil,"waterkuil, wed, wette, wijert",bassin waarin tijdelijk een grote hoeveelheid water opgeslagen kan worden
veenkuil,"veenkuil, veenput, veenwinput",waterplas die een overblijfsel is van kleinschalige turfwinning
meerstal,"meerstal, meertje, peel, vijver, wieltje, wijer, zijp, zoei",meertje in de hei
pompel,"neer, nering, pompel",wervel met snelle draaiing van water
weiert,"waai, waal, waay, wade, weel, weiert, wiel","diepe poel gelegen aan een dijk, ontstaan door een plaatselijke dijkdoorbraak"
zwalk,"slonde, zinkval, zwalk","draaikolk, verslinder"
slute,"plomp, ree, rei, sloot, slute, weidewater",smal water om of tussen weilanden dat dient voor de aan- en afvoer van water
wad,,"ondiepe zee in een reliëfarm kustgebied, met een bodem van fijn los materiaal, een sterke getijdenwerking en van de open zee"
dok,"dok, scheepskom",met één of twee sluisdeuren afgesloten gegraven haven
ryl,"ril, ryl",gegraven brede greppel
zijl,"lozingskanaal, spui, spuikanaal, zijl","kanaal met daarin een spuisluis, bedoeld om binnenwater te spuien"
zijp,"meerstal, meertje, peel, vijver, wieltje, wijer, zijp, zoei",meertje in de hei
zeeg,"polderwatering, tocht, tochtsloot, trekker, vaart, zeeg, zeek",verbindingssloot tussen de poldersloten en de poldervaart
wraak,"afdrijving, drift, driftstroom, winddrift, wraak",een stroom die veroorzaakt wordt door wind dat het water meesleept
gruppe,"grub, grubbe, grup, gruppe",gegraven lange en smalle afvoer voor water
visvijver,"visdijk, viskenij, visput, visvijver",aangelegde plas water waarin vissen gehouden en gekweekt worden
wolfskuil,,"sloot of kuil aan het einde van een park, laan of tuin om de toegang te beletten zonder het uitzicht te belemmeren"
waterkeel,"hals, nauw, nauwte, passage, waterkeel","plaatselijke versmalling van het vaarwater of een doorgang naar groot vaarwater, een meer o.i.d."
molensloot,"boezemsloot, kolksloot, molensloot, molenvliet",sloot in een polder die op een boezem uitkomt
vispassage,"vispassage, vistrap",smalle getrapte watergang naast een stuw waardoor vissen tree voor tree tegen de stroom in kunnen zwemmen
sprengebeek,"sprank, sprangader, spreng, sprengebeek",een door mensen gegraven of verlegde beek gevoed door kwelwater
boezemwater,,"de watergangen waarop het water dat een polder gemalen wordt, geloosd wordt"
bakwetering,,brede afwateringssloot op korte afstand achter de rivierdijk
zwembassin,,bak met water waarin je kunt zwemmen
molenkolk,"molenkolk, wijer, wijerd",voorraadbassin voor water van watermolens
slotgracht,"fossé, kasteelgracht, slotgracht","diepe, brede gracht die een kasteel of gebouw omringt"
veengoot,,brede gegraven watergang die een veengebied ontwatert
reservoir,"bassin, bekken, kom, reservoir",plaats waar water bewaard kan worden
moerput,"boerenkuil, klotput, moerput, turfput",waterplas die een overblijfsel is van kleinschalige turfwinning
zandput,"zandgat, zandput, zandwinput",een gegraven diepte in de bodem waaruit zand gewonnen werd
girande,"conduit, fontein, giesser, girande, quicborne","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
meertje,"meerstal, meertje, peel, vijver, wieltje, wijer, zijp, zoei",meertje in de hei
dijkput,"baggergat, baggerput, dijkput",door baggeren ontstane waterpoel
monde,,zijkanaal voor turfafvoer
visput,"visdijk, viskenij, visput, visvijver",aangelegde plas water waarin vissen gehouden en gekweekt worden
wijert,"waterkuil, wed, wette, wijert","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
dricht,"drecht, grift, kanaal, rinne, schiplede, vaart","gegraven stuk vaarwater van redelijke omvang, waarin het water kunstmatig op een bepaald niveau gehouden wordt"
weer,"pet, petgat, trekgat, weer",meertje dat is ontstaan door het systematisch wegnemen van het voormalige veendek
kalle,,"kleine waterstroom, gootje"
voor,"groef, groep, ril, voor, vore",gegraven lange en smalle afvoer voor water
keel,,waterdoorgang tussen twee legakkers in de veenderij
diep,"diep, diepte",verdiept uitgegraven kanaal of uitgediept natuurlijk vaarwater
dulf,"delf, delft, delte, delve, dulf, dulve","oude benaming voor vaart, kanaal, gracht, sloot"
geul,"dalweg, geul, stroomgeul","verdieping van een vaarwater, ontstaan door de stroming van het water"
flesch,"fles, flesch vles",plas in bos of hei
ondiep,"laagte, ondiep",ondiep stilstaand water
fontein,"conduit, fontein, giesser, girande, quicborne","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
bronwel,"born, borne, bron, bronwel, brunnen",plaats waar water uit de grond komt
vloeiput,,buitendijkse oesterput op bij eb droogvallend slik
zoelplek,,modderpoel waar wilde zwijnen baden
overdiep,,buitengewoon diep water
loopdiep,"loopdiep, trekvaart",voor het transport met pak- en trekschuiten geconstrueerde vaarweg
baggerput,"baggergat, baggerput, dijkput",door baggeren ontstane waterpoel
maalboezem,"boezem, maalboezem","meer, kanaal of rivier waar overtollig polderwater op wordt geloosd"
hoogwatersloot,,"sloot in een poldergebied met een waterpeil op boezempeil, dat hoger ligt dan het polderpeil"
afwateringssloot,"afwateringssloot, rei, riet",sloot waarlangs water afgevoerd wordt
uitspoelingsgat,"kolk, stroomgat, uitspoelingsgat, valput","diepe poel gelegen aan een dijk, ontstaan door een plaatselijke dijkdoorbraak"
waterreservoir,"waterbak, waterbassin, waterbekken, waterreservoir",plaats waar water bewaard kan worden
buitenwater,,"water van de grote rivieren (rijn, maas, ijssel), het ijsselmeer, het markermeer en de zee"
bovensloot,,onderdeel van het bevloeiingssysteem van een vloeiweide
ganzenkuil,"gaal, ganzenkuil, ganzenorgel, quakjeswater",spartelplas voor watervogels
schipsloot,"brandsloot, opvaart, schipsloot, schipvaart",kanaal dat haaks op een ander kanaal staat
schutkolk,"kolk, sas, schutkolk, sluiskolk, wiel",water in de sluis tussen de sluisdeuren
veenplas,"veengat, veenplas, veentie, ven, venneke",stilstaand waterbekken in het veen
boezem,,"stelsel van sloten, vaarten en kanalen waarop hetzelfde waterpeil heerst"
fehting,"fait, fehting, feit, feith","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
petgat,"pet, petgat, trekgat, weer",meertje dat is ontstaan door het systematisch wegnemen van het voormalige veendek
wade,"waai, waal, waay, wade, weel, weiert, wiel","diepe poel gelegen aan een dijk, ontstaan door een plaatselijke dijkdoorbraak"
grep,"greb, grebbe, grep, greppe, greppel",gegraven lange en smalle afvoer voor water
zeek,"polderwatering, tocht, tochtsloot, trekker, vaart, zeeg, zeek",verbindingssloot tussen de poldersloten en de poldervaart
drift,"afdrijving, drift, driftstroom, winddrift, wraak",een stroom die veroorzaakt wordt door wind dat het water meesleept
wed,"vogelenzang, vogelwater, wed, zwanenwater",spartelplas voor watervogels
sien,"keen, sien, sjaan",smalle ontwateringssloot
leie,"lede, lee, lei, leie, ley","brede, ondiepe greppel (vaak) ten behoeve van de afwatering van hoger gelegen weides"
slat,"slat, volte, waskolk",meertje op de heide waarin schapen worden gewassen
kil,"hank, kil, kille, strang",doodlopende geul van een rivier
ril,"groef, groep, ril, voor, vore",gegraven lange en smalle afvoer voor water
val,"cascade, val, waterval",water dat trapsgewijs van een hoogte naar beneden stort
zuin,"aardgeul, geul, rijt, zuin","lange sleuf in akkers en weilanden, gebruikt om overtollig water af te voeren naar de sloot"
vliet,"slaak, vliet, waterlossing","zelfstromende, gegraven afvoersloot, met name in hoogveengebied"
slisse,"slak, sleup, slisse, vliet, voots",gegraven afvoergoot of waterlozing
gewas,,gevaarlijke plaats in een water met sterke stroming
stroom,"stroming, stroom, waterstroom","plaats waar water stroomt, lijnvormig watervoerend object"
halmoer,"halmer, halmoer, heiningssloot, heinsloot",smalle sloot in de polder die vaak de grens aangeeft tussen twee boerderijen
winddrift,"afdrijving, drift, driftstroom, winddrift, wraak",een stroom die veroorzaakt wordt door wind dat het water meesleept
vaargeul,,bebakende deel van het vaarwater dat dikwijls uitgebaggerd is
sidelsloot,"bermsloot, sidelsloot, wegsloot",gracht als enige verkeersader
heideplas,"heidemeer, heideplas, heideven, slat",stilstaand waterbekken in de hei
uitmonding,"mond, mude, muiden, uitmonding",plaats waar een sloot uitkomt in een ander water
weidewater,"plomp, ree, rei, sloot, slute, weidewater",smal water om of tussen weilanden dat dient voor de aan- en afvoer van water
molentocht,"achterslag, achterwater, molentocht",hoofdwatergang van een polder waar aan het eind een gemaal ligt
vroonwater,,viswater toebehorend aan een heer en vrijgesteld van dijklasten en belasting
klemsloot,"klemsloot, walsloot",kleine sloot in turfgraverij
duinrel,,"gegraven, ondiepe watergang waarin kwelwater uit de duinen kan afstromen naar het lager gelegen land"
spreng,"sprank, sprangader, spreng, sprengebeek",een door mensen gegraven of verlegde beek gevoed door kwelwater
gracht,"gracht, grubbe, vloedgraaf",gegraven sloot om regenwater op een beek af te voeren
weier,"keern, viskuil, weier, weijerd",aangelegde plas water waarin vissen gehouden en gekweekt worden
fossé,"fossé, kasteelgracht, slotgracht","diepe, brede gracht die een kasteel of gebouw omringt"
mark,"maar, mare, mark",waterloop die de grens vormt tussen twee gebieden
vlaas,"flaas, fles, vlaas, vloos",gegraven drenkpoel in de duinen
kom,"havenkolk, havenkom, kom","verbreding van het vaarwater, dat als haven gebruikt wordt"
feit,"fait, fehting, feit, feith","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
wed,"waterkuil, wed, wette, wijert","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
wijk,"inwijk, krukvaart, wiek, wieke, wijk",zijkanaal van het hoofddiep in het veenkoloniale landschap
vliet,"slak, sleup, slisse, vliet, voots",gegraven afvoergoot of waterlozing
waal,"waai, waal, waay, wade, weel, weiert, wiel","diepe poel gelegen aan een dijk, ontstaan door een plaatselijke dijkdoorbraak"
stomp,"pel, pelt, pollert, stomp,","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
verlaat,"loos, sidelinge, verlaat",kanaal waardoor overtollig water wordt afgevoerd
conduit,"conduit, fontein, giesser, girande, quicborne","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
opvaart,"brandsloot, opvaart, schipsloot, schipvaart",kanaal dat haaks op een ander kanaal staat
ijzerkuil,,voormalige winningsput van ijzerrijke kleiklompjes in riviersediment
leemkuil,"kleigat, kleiput, leemdobbe, leemkuil, leemput, tegelslag, tichelgat, uitdelving",kleine put waaruit klei of leem gewonnen wordt
dodearm,,doodlopende zijtak van een rivier
bijstroom,"aftrek, bijstroom, monding, ontlasting",plaats waar een sloot of wetering in een rivier komt
waterrem,"wapeldrenking, waterplas, waterpoel, waterrem, zuipersgat",ondiep stilstaand water
watergang,"gang, opvaart, watergang",gegraven stuk vaarwater van redelijke omvang waarin het water kunstmatig op een bepaald niveau gehouden wordt
vloedgraaf,"gracht, grubbe, vloedgraaf",gegraven sloot om regenwater op een beek af te voeren
polderwater,"binnenwater, polderwater",het (bevaarbare) water in een polder
leemdobbe,"kleigat, kleiput, leemdobbe, leemkuil, leemput, tegelslag, tichelgat, uitdelving",kleine put waaruit klei of leem gewonnen wordt
waterweg,"vaarwater, vaarweg, waterweg","het water waar een vaartuig, hoe klein ook, kan varen"
hoofddiep,,"belangrijkste kanaal in het hoogveenlandschap, van waaruit de ontginning werd gestart"
gangsloot,,brede (vaar)sloot
wateringe,"watering, wateringe, wetering","gegraven watergang, belangrijk voor de afwatering van een gebied"
spuitbron,"springbron, spuitbron, spuitter, swin, waterspuit","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
bijstroom,,kleinere stroom die in een hoofdrivier uitmondt
greppel,"greb, grebbe, grep, greppe, greppel",gegraven lange en smalle afvoer voor water
invaart,,"doorvaart die toegang geeft tot een min of meer afgesloten gebied, zoals een haven, een sluis, een meer"
giesser,"conduit, fontein, giesser, girande, quicborne","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
diepte,"diep, diepte",verdiept uitgegraven kanaal of uitgediept natuurlijk vaarwater
drecht,"drecht, grift, kanaal, rinne, schiplede, vaart","gegraven stuk vaarwater van redelijke omvang, waarin het water kunstmatig op een bepaald niveau gehouden wordt"
gewas,"gewade, gewas, ongemak, rak",ondiep voor schepen gevaarlijk water
zwette,"zwet, zwetsloot, zwette",een sloot die de grens vormt tussen twee gebieden
borne,"born, borne, bron, bronwel, brunnen",plaats waar water uit de grond komt
braak,"braak, breek, brekken","diepe poel gelegen aan een dijk, ontstaan door een plaatselijke dijkdoorbraak"
delve,"delf, delft, delte, delve, dulf, dulve","oude benaming voor vaart, kanaal, gracht, sloot"
vaat,"vaat, vaete, vate, vathe","dorpsvijver,drinkvijver voor het vee en reservoir voor de brandweer"
slat,"heidemeer, heideplas, heideven, slat",stilstaand waterbekken in de hei
rijt,,uitwatering van een stroom of kanaal in zee
ril,"ril, ryl",gegraven brede greppel
rei,"afwateringssloot, rei, riet",sloot waarlangs water afgevoerd wordt
vest,"vest, veste, vestgracht, vestinggracht",gegraven kanaal om een vesting
maar,,stroomgang als afvoerkanaal
heul,,overdekte waterloop
waay,"waai, waal, waay, wade, weel, weiert, wiel","diepe poel gelegen aan een dijk, ontstaan door een plaatselijke dijkdoorbraak"
breek,"braak, breek, brekken","diepe poel gelegen aan een dijk, ontstaan door een plaatselijke dijkdoorbraak"
dobbe,"dobbe, drenk, drenkplaats, drinkkolk, drinkkuil","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
piscine,"kweekvijver, piscine, teeltvijver",aangelegde plas water waarin vissen gehouden en gekweekt worden
gewade,"gewade, gewas, ongemak, rak",ondiep voor schepen gevaarlijk water
vestgracht,"vest, veste, vestgracht, vestinggracht",gegraven kanaal om een vesting
vogelwater,"vogelenzang, vogelwater, wed, zwanenwater",spartelplas voor watervogels
moddergracht,"goorgrave, gorre, moddergracht, moergracht",modderige gracht
bluswatervijver,,vijver gegraven om bluswater te hebben in geval van brand
afwateringsgoot,,goot waardoor overtollig water wordt afgevoerd
verwaterplaats,,plaats om mosselen uit te zetten om ze te ontdoen van zand
binnengracht,"binnengracht, binnenvest","geheel in een stad gelegen gracht, verdedigingsgracht binnen de stadsmuren"
zwanenwater,"vogelenzang, vogelwater, wed, zwanenwater",spartelplas voor watervogels
waterspuit,"springbron, spuitbron, spuitter, swin, waterspuit","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
tochtsloot,"polderwatering, tocht, tochtsloot, trekker, vaart, zeeg, zeek",verbindingssloot tussen de poldersloten en de poldervaart
heinsloot,"halmer, halmoer, heiningssloot, heinsloot",smalle sloot in de polder die vaak de grens aangeeft tussen twee boerderijen
stroom,"drift, gang, stroom, stroming","de beweging van een hoeveelheid water ten opzichte van het omringende water, land of onderliggende grond"
slak,"slak, sleup, slisse, vliet, voots",gegraven afvoergoot of waterlozing
sas,"kolk, sas, schutkolk, sluiskolk, wiel",water in de sluis tussen de sluisdeuren
kil,"kil, slenk, trog, zeebekken","dalvormig bekken in oceanen, meestal evenwijdig lopend aan de kust of een eilandreeks"
zeeg,"afvoersloot, zeeg",sloot waardoor overtollig water wordt afgevoerd
grebbe,"greb, grebbe, grep, greppe, greppel",gegraven lange en smalle afvoer voor water
dalweg,"dalweg, geul, stroomgeul","verdieping van een vaarwater, ontstaan door de stroming van het water"
waterlaat,"sluistocht, waterlaat",poldersloot die op een sluis uitkomt
eendenput,"eendenput, eendenschietput",poel of plas die dient als plek voor de eendenjacht
eendenkom,,afgesloten water waarin tamme eenden worden gehouden
kasteelgracht,"fossé, kasteelgracht, slotgracht","diepe, brede gracht die een kasteel of gebouw omringt"
schouwsloot,"keursloot, schouwsloot",sloot die onder toezicht van het waterschap wordt onderhouden door de eigenaren van het land rond de sloot
molenbeek,"maalbeek, molenbeek","gegraven aftakking van een beek of rivier, bedoeld om een molenvijver van water te voorzien"
zuipersgat,"wapeldrenking, waterplas, waterpoel, waterrem, zuipersgat",ondiep stilstaand water
waterplas,"wapeldrenking, waterplas, waterpoel, waterrem, zuipersgat",ondiep stilstaand water
weersloot,"kavelsloot, weersloot","scheisloot tussen de kavels van een bedijking, dwars op een tochtsloot"
turfvaart,"compagnievaart, turfkanaal, turfvaart, wijk","gegraven kanaal in een turfwinningsgebied, ter ontwatering van het veen en als transportweg voor de afvoer van de turf"
veengat,"veengat, veenplas, veentie, ven, venneke",stilstaand waterbekken in het veen
piscine,"piscine, spartelvijver",waterbekken vooral in gebruik om te baden
mude,"mond, mude, muiden, uitmonding",plaats waar een sloot uitkomt in een ander water
wide,"wide, wijde",uitgeveende en door golfslag vergrote plas
geul,"aardgeul, geul, rijt, zuin","lange sleuf in akkers en weilanden, gebruikt om overtollig water af te voeren naar de sloot"
lek,"leek, lek",ontsloten (vaar)water
swin,"springbron, spuitbron, spuitter, swin, waterspuit","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
slenk,,ondiepe kom in het veen
groef,"groef, groep, ril, voor, vore",gegraven lange en smalle afvoer voor water
drecht,"dracht, drait, drecht, drift",vrij stromend stuk water van redelijke omvang
smalte,"smalheid, smalte, sont","plaatselijke versmalling van het vaarwater of een doorgang naar groot vaarwater, een meer o.i.d."
krukvaart,"inwijk, krukvaart, wiek, wieke, wijk",zijkanaal van het hoofddiep in het veenkoloniale landschap
oesterput,,put waarin oesters gekweekt of bewaard worden
waterkelder,"cisterne, waterkelder",ondergrondse opslag van regenwater
onderstroom,,stroming diep in het water
benedensloot,,onderdeel van het bevloeiingssysteem van een vloeiweide
binnenwater,,al het water binnen de kustlijn van een land
molenvijver,,gegraven vijverwaarin het water wordt verzameld voor een watermolen
brugkanaal,"aquaduct, brugkanaal, kanaalbrug",brug voor een waterloop waarbij andere verkeersstromen onder het water door worden geleid
ondersloot,,sloot die water voor een vloeiweide afvoert
afvoergeul,"afvoergeul, afvoerkanaal",lange en smalle afvoer voor water
springader,"springader, springbron, sprong",waterader onder de grond als bron aangetapt
havenkom,"havenkolk, havenkom, kom","verbreding van het vaarwater, dat als haven gebruikt wordt"
keursloot,"keursloot, schouwsloot",sloot die onder toezicht van het waterschap wordt onderhouden door de eigenaren van het land rond de sloot
wetering,"watering, wateringe, wetering","gegraven watergang, belangrijk voor de afwatering van een gebied"
bornepit,"bornepit, welsloot","artesische bron aan te treffen in een gegraven put, voor drinkwater"
leigrave,"leidegrave, leigraaf, leigrave","gegraven watergang, belangrijk voor de afwatering van een gebied"
halmer,"halmer, halmoer, heiningssloot, heinsloot",smalle sloot in de polder die vaak de grens aangeeft tussen twee boerderijen
waai,"waai, waal, waay, wade, weel, weiert, wiel","diepe poel gelegen aan een dijk, ontstaan door een plaatselijke dijkdoorbraak"
laak,"aardgracht, laak, leek",een waterloop die de grens vormt tussen twee gebieden
grup,"grub, grubbe, grup, gruppe",gegraven lange en smalle afvoer voor water
ruit,"root, ruit",het staande water waarin vlas ligt te roten
born,"born, borne, bron, bronwel, brunnen",plaats waar water uit de grond komt
volte,"slat, volte, waskolk",meertje op de heide waarin schapen worden gewassen
streng,"nevengeul, streng",parallel aan de hoofdstroom van een rivier of beek lopende watergang
konkel,"draaikolk, draaistroom, konkel",wervel met snelle draaiing van water
trekgat,"pet, petgat, trekgat, weer",meertje dat is ontstaan door het systematisch wegnemen van het voormalige veendek
vaarweg,"vaarwater, vaarweg, waterweg","het water waar een vaartuig, hoe klein ook, kan varen"
kiezelkuil,"grindgat, kiezelkuil",door het winnen van grind ontstane waterpoel
draaikolk,"draaikolk, draaistroom, konkel",wervel met snelle draaiing van water
kwelgeul,,geul waarin water dat door een dijklichaam doorgelaten wordt opgevangen kan worden
omvloed,,waterafleiding om een molenstuw ten behoeve van scheepvaart
dijksloot,,sloot langs de binnenzijde van een dijk
spuidok,"spuidok, spuikom, spuiput",afsluitbaar deel van de haven waarin tijdens opkomend water water wordt verzameld om bij laagwater slib uit de haven te kunnen spoelen
greppel,"graaf, gracht, graft, greppel, groeve, rei, rui",gegraven kanaal
pollert,"pel, pelt, pollert, stomp,","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
vivere,"vijver, vivere, waterkom, wiver","aangelegde plas in een park, bos of tuin"
vloos,"flaas, fles, vlaas, vloos",gegraven drenkpoel in de duinen
nauw,"hals, nauw, nauwte, passage, waterkeel","plaatselijke versmalling van het vaarwater of een doorgang naar groot vaarwater, een meer o.i.d."
kolk,"holte, kolk, sigat, zinkgat",met water gevulde uitholling in de grond
leek,"aardgracht, laak, leek",een waterloop die de grens vormt tussen twee gebieden
wijk,"compagnievaart, turfkanaal, turfvaart, wijk","gegraven kanaal in een turfwinningsgebied, ter ontwatering van het veen en als transportweg voor de afvoer van de turf"
kom,"bassin, bekken, kom, reservoir",plaats waar water bewaard kan worden
panne,,binnendijks watertje of kleine kolk
greppe,"greb, grebbe, grep, greppe, greppel",gegraven lange en smalle afvoer voor water
voorde,"gewas, ondiep,voorde, wade",doorwaadbare plaats in een rivier of waterloop
grindgat,"grindgat, kiezelkuil",door het winnen van grind ontstane waterpoel
ontlasting,"aftrek, bijstroom, monding, ontlasting",plaats waar een sloot of wetering in een rivier komt
puntgracht,,"militaire barriere met taluds en ongelijke helling, en een in een punt toegegraven bodem"
zandwinput,"zandgat, zandput, zandwinput",een gegraven diepte in de bodem waaruit zand gewonnen werd
binnenwater,"binnenwater, polderwater",het (bevaarbare) water in een polder
stroomgebied,"afwateringsgebied, stroomgebied, traverse",gebied dat op een waterloop afwatert
binnenboezem,,waterbuffer gelegen binnen de waterstaatkundige grens van een polder dat loost op een bergboezem
compagnievaart,"compagnievaart, turfkanaal, turfvaart, wijk","gegraven kanaal in een turfwinningsgebied, ter ontwatering van het veen en als transportweg voor de afvoer van de turf"
anti-tankgracht,,diepe gegraven met water gevulde gracht met steile oevers om tanks tegen te houden
stroomdalven,,ven ontstaan uit vroegere beek- of rivierbeddingen
waterwervel,"wervel, waterwervel, wiel, wieling, wolf, zwervelinge",wervel met snelle draaiing van water
veenwinput,"veenkuil, veenput, veenwinput",waterplas die een overblijfsel is van kleinschalige turfwinning
sprengkop,,"gegraven, trechtervormig gat van een paar meter diep, beginpunt van een spreng"
maalbeek,"maalbeek, molenbeek","gegraven aftakking van een beek of rivier, bedoeld om een molenvijver van water te voorzien"
waterbak,"waterbak, waterbassin, waterbekken, waterreservoir",plaats waar water bewaard kan worden
spuiput,"spuidok, spuikom, spuiput",afsluitbaar deel van de haven waarin tijdens opkomend water water wordt verzameld om bij laagwater slib uit de haven te kunnen spoelen
monde,"diep, moervaart, monde, praamgracht","gegraven kanaal in een turfwinningsgebied, ter ontwatering van het veen en als transportweg voor de afvoer van de turf"
levada,"bisse, levada",in de bergen aangelegde lange goot voor het opvangen van drinkwater en irrigatiewater
wiede,,onder water gelopen verveend laagveen
keern,"keern, viskuil, weier, weijerd",aangelegde plas water waarin vissen gehouden en gekweekt worden
raffel,,ondiepte tussen twee kribben
leide,,afleidingsbeek
peel,"meerstal, meertje, peel, vijver, wieltje, wijer, zijp, zoei",meertje in de hei
ley,"lede, lee, lei, leie, ley","brede, ondiepe greppel (vaak) ten behoeve van de afwatering van hoger gelegen weides"
ank,"ank, hank, strang",buitendijks gelegen plas of doodlopende rivierarm
del,"del, kolk, rei, slat",ondiep stilstaand water
fles,"fles, flesch vles",plas in bos of hei
kolk,,onderdeel van een molengang
heul,,"smaller gedeelte van een rivier, beek of sloot"
weel,"waai, waal, waay, wade, weel, weiert, wiel","diepe poel gelegen aan een dijk, ontstaan door een plaatselijke dijkdoorbraak"
