hoofdstroom,"hoofdrivier, hoofdstroom","het gedeelte van een rivier waarin alle zijrivieren uitmonden en dat uiteindelijk uitmondt in een oceaan, zee of meer"
zeeboezem,"zee-arm, zeebocht, zeeboezem, zee-inham",inham van de zee in het land
stranke,"stranke, strant, zeetak",plaats waar een zee of meer het land in komt
winkel,,bochtige rivier
slofter,"sloe, slofter, slufter, sluuf, spui",getijdegeul die vanuit zee door een gat in de duinen naar binnen stroomt 
plomp,"most, plas, plomp, poel",ondiep stilstaand water
beets,"beek, beets","een natuurlijke stroom ondiep water die vanuit een oorsprong, vaak een bron, stroomafwaarts vloeit"
beek,"beek, beets","een natuurlijke stroom ondiep water die vanuit een oorsprong, vaak een bron, stroomafwaarts vloeit"
swin,"springbron, spuitbron, spuiter, swin, waterspuit","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
rijt,"reit, riet, rijd, rijt",kleine waterloop
rak,,"recht stuk water, tussen twee bochten"
fait,"fait, fehting, feit, feith","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
wiel,"wervel, waterwervel, wiel, wieling, wolf, zwervelinge",
geul,"dalweg, geul, stroomgeul","verdieping van een vaarwater, ontstaan door de stroming van het water"
welle,"kwel, wel, welgat, welle",plaats waar water uit de grond komt
drenk,"dobbe, drenk, drenkplaats, drinkkolk, drinkkuil","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
stroom,"gang, stroom",bewegende massa water
crevasse,"crevasse, doorbraakgeul, overloopgeul",doorbraak bij hoogwater door de oeverwal van een rivier
afsplitsing,"afsplitsing, aftakking, splitsing, spruit",deel van een rivier dat zijn water uit de hoofdrivier ontvangt
regenrivier,,rivier die zijn water vooral ontvangt uit neerslag
waterspuit,"springbron, spuitbron, spuiter, swin, waterspuit","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
doodleger,"doodleger, doodlegger, doolegger, meerstal","natuurlijk gevormde plas in actief, levend hoogveengebied"
binnenlek,,het water van de Noordzee binnen zicht van de kust
stroming,"stroming, stroom, waterstroom","plaats waar water stroomt, lijnvormig watervoerend object"
oprispe,"bobbel, opbullinge, oprispe, opsiedinge, ril",plaats waar water uit de grond komt
zinkval,"abisgronde, slond,val, zinkval, zwalk",diepe geul in kustwater
therme,"bad, cadier, keer, therme",plaats met warm thermisch water
strang,"hank, kil, kille, strang",doodlopende geul van een rivier
zijarm,"zijarm, zijrivier, zijtak",deel van een rivier dat zijn water uit de hoofdrivier ontvangt
zwin,"strang, zeestrang, zwin",kleine zee-arm
born,"beekbron, bekkespring, born, kwik",plaats waar een beek ontspringt
haf,"hef, haf","zee, in het bijzonder de waddenzee"
ee,"aa, aa, aar, ae, die, e, ee, ie, ij",oude benaming voor een natuurlijke waterloop
ie,"aa, aa, aar, ae, die, e, ee, ie, ij",oude benaming voor een natuurlijke waterloop
kil,"hank, kil, kille, strang",doodlopende geul van een rivier
arm,"arm, braas",armvormig uitsteeksel van zee in of tussen land
golf,"baai, bocht, golf, inham, schoot, wijk, wijkje",inham van de zee in het land
kolk,"del, kolk, rei, slat",ondiep stilstaand water
gent,"aber, gamb, gent, geurt",samenloop van wateren
delta,"delta, estuarium, rivierdelta, riviermond",trechtervormige monding van een rivier ontstaan door afzetting van sediment
soeze,"soeze, souze, spreng, spring, sprunk",plaats waar een beek ontspringt
weiver,"waver, weiver, worm",waaierend (wuivend) kronkelend stroompje
platzee,,deel van de zee dat minder dan tweehonderd meter diep is
baardzee,"baardzee, wendelmeere",omringende zee
vaarwater,"vaarwater, vaarweg, waterweg","het water waar een vaartuig, hoe klein ook, kan varen"
opbullinge,"bobbel, opbullinge, oprispe, opsiedinge, ril",plaats waar water uit de grond komt
kratermeer,"kratermeer, vulkaanmeer",met water gevulde vulkaantop
onderstroom,,stroming onder het wateroppervlak
samenvloeiing,"confluentie, samenloop, samenstroming, samenvloeiing",plaats waar twee rivieren bij elkaar komen en gezamenlijk hun loop voortzetten
wendelmeere,"baardzee, wendelmeere",omringende zee
abisgronde,"abisgronde, afgrond","draaikolk, verslinder"
uitsprong,"sprank, uitloop, uitsprong",uit de grond ontspringend water
sprant,"sprank, sprant",tak van een smalle waterloop
heul,,"smaller gedeelte van een rivier, beek of sloot"
laak,"beek, laak, lede, vleit",natuurlijke afwatering in moerassig terrein
raai,"raai, riviertak, tak, vertakking",deel van een rivier dat zijn water uit de hoofdrivier ontvangt
arm,"arm, nevenspoor, rivierarm",deel van een rivier dat zijn water uit de hoofdrivier ontvangt
kil,"balg, drecht, kil, kreek",een inham van de zee met eb- en vloedstroom
tak,"raai, riviertak, tak, vertakking",deel van een rivier dat zijn water uit de hoofdrivier ontvangt
mui,"mui, rel, ril, suatiegeul",watergang op of nabij het strand of op een kwelder waardoor water wegstroomt bij eb
kwel,"kwel, wel, welgat, welle",plaats waar water uit de grond komt
enge,"eng, enge, engte","plaatselijke versmalling van het vaarwater of een doorgang naar groot vaarwater, een meer o.i.d."
fjord,,diepe smalle inham in een hoge rotsachtige kust
streng,"duinbeek, rel, streng",beekje dat in de buurt van de binnenduinrand ontspringt en naar het achterliggende polderland wegstroomt
schaar,"schaar, schar, schoer, slenk",geul waardoor eb of vloed stroomt
tijrivier,"getijdenrivier, getijrivier, tijrivier",rivier of monding van een rivier waarvan de waterhuishouding onder invloed staat van de getijden
duinmeer,,"meertje in de duinen op een ondoorlatende laag, of op een plaats waar de grondwaterspiegel lager ligt dan de duinvallei"
bifurcatie,"bifurcatie, splitsing, vork",plaats waar een beek of rivier zich splitst
doortocht,"doortocht, doorvaart","plaatselijke versmalling van het vaarwater of een doorgang naar groot vaarwater, een meer o.i.d."
springader,,een scheur in het aardoppervlak waaruit water omhoog komt en een bron ontstaat
oorsprong,"oar, oir, oorsprong",begin van een rivier of beek
abisgronde,"abisgronde, slond,val, zinkval, zwalk",diepe geul in kustwater
vloedschaar,"vloedgeul, vloedschaar",getijgeul die open ligt voor de vloed en aan het uiteinde een drempel heeft
maalstroom,"maalstroom, mallemolen, mui","draaikolk, verslinder"
riviermond,"delta, estuarium, rivierdelta, riviermond",trechtervormige monding van een rivier ontstaan door afzetting van sediment
zeebekken,"kil, slenk, trog, zeebekken","dalvormig bekken in oceanen, meestal evenwijdig lopend aan de kust of een eilandreeks"
meerstal,"doodleger, doodlegger, doolegger, meerstal","natuurlijk gevormde plas in actief, levend hoogveengebied"
splitsing,"afsplitsing, aftakking, splitsing, spruit",deel van een rivier dat zijn water uit de hoofdrivier ontvangt
influent,,waterstroom die een systeem of een behandelingseenheid binnenkomt
spreng,"ader, sprang, sprank, spreng, sprengebeek, waterader",ondergrondse waterstroom
borne,"born, borne, bron, bronwel, brunnen",plaats waar water uit de grond komt
vleit,"beek, laak, lede, vleit",natuurlijke afwatering in moerassig terrein
rijd,"reit, riet, rijd, rijt",kleine waterloop
wed,"waterkuil, wed, wette, wijert","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
ader,"ader, put, waterbron",plaats waar water uit de grond komt
meer,"mar, meer",oppervlakte min of meer stilstaand water dat zó diep is dat het zonlicht de bodem niet kan bereiken
ziep,"sieb, siepsloot, sijpe, ziep, zijp, zijpe",kleine waterloop voor afstromend water
gat,"gat, vaargat",de nauwe opening of doorgang tussen twee meren of zeeën
hop,,"droge of bijna droge, steeds kleiner wordende inham"
han,"han, kemmel, kromte, meander, rivierbocht",bocht of kromming in een rivier of andere waterloop
wad,,"ondiepe zee in een reliëfarm kustgebied, met een bodem van fijn los materiaal, een sterke getijdenwerking en van de open zee"
glop,"doorbraakgeul, glop, schuitengat",getijdegeul die vanuit zee door een gat in de duinen naar binnen stroomt 
wolf,"wervel, waterwervel, wiel, wieling, wolf, zwervelinge",
rozep,"houtwalbeek, rietbeek, rozep",bosbeek waarvan nog slechts een smalle oeverstrook met opgroeiend hout resteert
tjariet,"gooi, maar, tjariet, zwamp","klein, smal en veelal stilstaand natuurwater"
strang,"strang, zeestrang, zwin",kleine zee-arm
afdrijving,"afdrijving, drift, driftstroom, winddrift, wraak",een stroom die veroorzaakt wordt door wind dat het water meesleept
waterweg,"vaarwater, vaarweg, waterweg","het water waar een vaartuig, hoe klein ook, kan varen"
kronkelbeek,"kronkelbeek, slingerstroompje",bochtige beek of stroom
gemengde rivier,,rivier die door regenwater en ook door smeltwater van gletsjers wordt gevoed
benedenstroom,"benedenrivier, benedenstroom",gedeelte van de rivier waar de invloed van ed en vloed merkbaar is
vulkaanmeer,"kratermeer, vulkaanmeer",met water gevulde vulkaantop
drenkplaats,"dobbe, drenk, drenkplaats, drinkkolk, drinkkuil","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
confluentie,"confluentie, samenloop, samenstroming, samenvloeiing",plaats waar twee rivieren bij elkaar komen en gezamenlijk hun loop voortzetten
regenbeek,,beek die zijn water vooral ontvangt uit neerslag
kustrivier,,kleine rivier die in de kustzone ontspringt en na korte afstand in zee uitstroomt
waterkuil,"waterkuil, wed, wette, wijert","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
monding,"mond, monding, riviermond, riviermonding",plaats waar een rivier uitkomt in zee of meer
bronkop,"bron, bronkop, bronpoel, bronwel",begin van een rivier of beek waar het water uit de grond opwelt
girande,"conduit, fontein, giesser, girande, quicborne","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
zwamp,"gooi, maar, tjariet, zwamp","klein, smal en veelal stilstaand natuurwater"
drecht,"dracht, drait, drecht, drift",vrij stromend stuk water van redelijke omvang
vlieter,,geul met plaatselijke sterke stroming
bron,"bron, bronkop, bronpoel, bronwel",begin van een rivier of beek waar het water uit de grond opwelt
kwik,"beekbron, bekkespring, born, kwik",plaats waar een beek ontspringt
sloe,"sloe, slofter, slufter, sluuf, spui",getijdegeul die vanuit zee door een gat in de duinen naar binnen stroomt 
rel,"duinbeek, rel, streng",beekje dat in de buurt van de binnenduinrand ontspringt en naar het achterliggende polderland wegstroomt
wel,"kwel, wel, welgat, welle",plaats waar water uit de grond komt
eem,"eem, eme","natuurlijke waterloop, stroom, rivier"
pel,"pel, pelt, pollert, stomp,","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
wik,"wijkplaats, wik",kleine baai
aa,"aa, aa, aar, ae, die, e, ee, ie, ij",oude benaming voor een natuurlijke waterloop
put,"ader, put, waterbron",plaats waar water uit de grond komt
siek,"siek, sik, zijg",waterstroompje
hank,"ank, hank, strang",buitendijks gelegen plas of doodlopende rivierarm
etang,"etang, haf, kustmeer, lagoen, lagune, strandmeer, zoutmeer",door een schoorwal geheel of gedeeltelijk afgesloten deel van de zee
slufter,"sloe, slofter, slufter, sluuf, spui",getijdegeul die vanuit zee door een gat in de duinen naar binnen stroomt 
wuiver,,"benaming voor levendig water, een riviertje of een waterloop"
splitsing,"bifurcatie, splitsing, vork",plaats waar een beek of rivier zich splitst
bijstroom,,kleinere stroom die in een hoofdrivier uitmondt
waterplas,"wapeldrenking, waterplas, waterpoel, waterrem, zuipersgat",ondiep stilstaand water
sinnebeek,"sinnebeek, stortbeek, torrent","bergbeek met heftig bruisend, turbulent water"
samenloop,"confluentie, samenloop, samenstroming, samenvloeiing",plaats waar twee rivieren bij elkaar komen en gezamenlijk hun loop voortzetten
brandingstrog,"brandingstrog, kuststrange, stranke, zwin",diepere deel van de zee tussen twee strandbanken
smeltwaterrivier,"gletsjerrivier, smeltwaterrivier",rivier die door smeltwater van gletsjers wordt gevoed
uitwateringsarm,,verouderd woord voor riviertje in een delta
maalboezem,"boezem, maalboezem","meer, kanaal of rivier waar overtollig polderwater op wordt geloosd"
bovenloop,,"vanaf de bron gezien het eerste gedeelte van een rivier, waar kleine beken samenstromen tot een grote rivier"
siepsloot,"sieb, siepsloot, sijpe, ziep, zijp, zijpe",kleine waterloop voor afstromend water
overdiep,,buitengewoon diep water
brunnen,"born, borne, bron, bronwel, brunnen",plaats waar water uit de grond komt
zijrivier,"zijarm, zijrivier, zijtak",deel van een rivier dat zijn water uit de hoofdrivier ontvangt
sprang,"ader, sprang, sprank, spreng, sprengebeek, waterader",ondergrondse waterstroom
stroom,"amne, flume, fluvie, rivier, stroom",natuurlijke waterstroom die uitmondt in zee
spuiter,"springbron, spuitbron, spuiter, swin, waterspuit","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
krenze,"krenze, slinge",kringelig' watertje
spring,"soeze, souze, spreng, spring, sprunk",plaats waar een beek ontspringt
maar,"gooi, maar, tjariet, zwamp","klein, smal en veelal stilstaand natuurwater"
zwin,"priel, spriel, zwin",smalle (bevaarbare) geul op het wad
neer,"neer, nering, pompel",wervel met snelle draaiing van water
lede,"beek, laak, lede, vleit",natuurlijke afwatering in moerassig terrein
mar,"mar, meer",oppervlakte min of meer stilstaand water dat zó diep is dat het zonlicht de bodem niet kan bereiken
aar,"aa, aa, aar, ae, die, e, ee, ie, ij",oude benaming voor een natuurlijke waterloop
ae,"aa, aa, aar, ae, die, e, ee, ie, ij",oude benaming voor een natuurlijke waterloop
hef,"hef, haf","zee, in het bijzonder de waddenzee"
mui,"mui, diep, trekgat",snelle stroom water die loodrecht op de kust staat 
sont,,vaarwater dat twee zeeën verbindt
vlakte,,vrij grote ondiepte op ruim water
pollert,"pel, pelt, pollert, stomp,","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
kromte,"han, kemmel, kromte, meander, rivierbocht",bocht of kromming in een rivier of andere waterloop
zee-arm,"zee-arm, zeebocht, zeeboezem, zee-inham",inham van de zee in het land
passage,"pas, passage, straat, zee-engte, zeestraat",smalle doorgang tussen twee zeeën
aftakking,"afsplitsing, aftakking, splitsing, spruit",deel van een rivier dat zijn water uit de hoofdrivier ontvangt
zee-engte,"pas, passage, straat, zee-engte, zeestraat",smalle doorgang tussen twee zeeën
rivierdelta,"delta, estuarium, rivierdelta, riviermond",trechtervormige monding van een rivier ontstaan door afzetting van sediment
schildmeer,"lieskemeer, scheld, scheldmeer, schildmeer",ondiepe waterplas
riviermond,"mond, monding, riviermond, riviermonding",plaats waar een rivier uitkomt in zee of meer
mallemolen,"maalstroom, mallemolen, mui","draaikolk, verslinder"
schuitengat,"doorbraakgeul, glop, schuitengat",getijdegeul die vanuit zee door een gat in de duinen naar binnen stroomt 
kortsluitgeul,,"de ondiepste vorm van een geul, vormt de verbinding tussen de ebschaar en de vloedschaar"
driftstroom,"afdrijving, drift, driftstroom, winddrift, wraak",een stroom die veroorzaakt wordt door wind dat het water meesleept
estuarium,"delta, estuarium, rivierdelta, riviermond",trechtervormige monding van een rivier ontstaan door afzetting van sediment
zoutmeer,"etang, haf, kustmeer, lagoen, lagune, strandmeer, zoutmeer",door een schoorwal geheel of gedeeltelijk afgesloten deel van de zee
zinkval,"slonde, zinkval, zwalk","draaikolk, verslinder"
laagte,"laagte, ondiep",ondiep stilstaand water
wervel,"wervel, waterwervel, wiel, wieling, wolf, zwervelinge",
kreek,"els,drecht, geul, kil, kreek",inham van de zee met eb- en vloedstroom
fluve,"amne, flume, fluvie, rivier, stroom",natuurlijke waterstroom die uitmondt in zee
bron,"bron, brongebied",gebied van herkomst van een rivier
zijg,"siek, sik, zijg",waterstroompje
rijt,,uitwatering van een stroom of kanaal in zee
drift,"dracht, drait, drecht, drift",vrij stromend stuk water van redelijke omvang
streng,"loopje, streng",klein natuurlijk watertje
voorde,"gewas, ondiep,voorde, wade",doorwaadbare plaats in een rivier of waterloop
wieling,"wervel, waterwervel, wiel, wieling, wolf, zwervelinge",
boezem,"boezem, maalboezem","meer, kanaal of rivier waar overtollig polderwater op wordt geloosd"
zeegeul,,geul in zee
giesser,"conduit, fontein, giesser, girande, quicborne","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
aber,"aber, gamb, gent, geurt",samenloop van wateren
vlije,"vlie, vlij, vlije",geul waardoor eb of vloed stroomt
sik,"siek, sik, zijg",waterstroompje
val,"abisgronde, slond,val, zinkval, zwalk",diepe geul in kustwater
zwalk,"abisgronde, slond,val, zinkval, zwalk",diepe geul in kustwater
dusse,"dusse, dwaninge",watertje
lagune,"etang, haf, kustmeer, lagoen, lagune, strandmeer, zoutmeer",door een schoorwal geheel of gedeeltelijk afgesloten deel van de zee
torrent,"sinnebeek, stortbeek, torrent","bergbeek met heftig bruisend, turbulent water"
spijssloot,,"aanvoersloot voor een vloeiwijde, een stuk grond dat periodiek wordt bevloeid"
doodijsgat,"doodijsgat, doodijskom, doodijskuil",gat ontstaan doordat een aktieve gletsjer zich terugtrekt en brokken ijs achterlaat die een depressie vormen
opsiedinge,"bobbel, opbullinge, oprispe, opsiedinge, ril",plaats waar water uit de grond komt
houtwalbeek,"houtwalbeek, rietbeek, rozep",bosbeek waarvan nog slechts een smalle oeverstrook met opgroeiend hout resteert
samenstroming,"confluentie, samenloop, samenstroming, samenvloeiing",plaats waar twee rivieren bij elkaar komen en gezamenlijk hun loop voortzetten
doorbraakgeul,"doorbraakgeul, glop, schuitengat",getijdegeul die vanuit zee door een gat in de duinen naar binnen stroomt 
draaistroom,"draaikolk, draaistroom, konkel",wervel met snelle draaiing van water
zandkreek,,"zandige, ondiepe kreek"
pingoven,,"overblijfselen van vorstheuvels, ontstaan uit ijslenzen, te herkennen aan een opvallende ronde vorm"
stroom,"drift, gang, stroom, stroming","de beweging van een hoeveelheid water ten opzichte van het omringende water, land of onderliggende grond"
zeetak,"stranke, strant, zeetak",plaats waar een zee of meer het land in komt
slonde,"slonde, zinkval, zwalk","draaikolk, verslinder"
wraak,"afdrijving, drift, driftstroom, winddrift, wraak",een stroom die veroorzaakt wordt door wind dat het water meesleept
zwern,"zwem, zwern, zwin",waterplas op het strand bij laag tij
geurt,"aber, gamb, gent, geurt",samenloop van wateren
loop,,"verkorting van 'waterloop', de boven- midden- en onderloop van een rivier"
run,"rien, rijn, run, runde",waterstroompje
del,"del, kolk, rei, slat",ondiep stilstaand water
ij,"aa, aa, aar, ae, die, e, ee, ie, ij",oude benaming voor een natuurlijke waterloop
lo,,"buitendijks water, veelal een kil of kreek in buitengronden, soms ook waterloop"
rel,"mui, rel, ril, suatiegeul",watergang op of nabij het strand of op een kwelder waardoor water wegstroomt bij eb
trog,"kil, slenk, trog, zeebekken","dalvormig bekken in oceanen, meestal evenwijdig lopend aan de kust of een eilandreeks"
spui,"sloe, slofter, slufter, sluuf, spui",getijdegeul die vanuit zee door een gat in de duinen naar binnen stroomt 
sont,"smalheid, smalte, sont","plaatselijke versmalling van het vaarwater of een doorgang naar groot vaarwater, een meer o.i.d."
wette,"waterkuil, wed, wette, wijert","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
straat,"pas, passage, straat, zee-engte, zeestraat",smalle doorgang tussen twee zeeën
pompel,"pompel, swalm, waal",waterkolk
straamp,,plaats waar een beek zich splitst
vaarweg,"vaarwater, vaarweg, waterweg","het water waar een vaartuig, hoe klein ook, kan varen"
waterrem,"wapeldrenking, waterplas, waterpoel, waterrem, zuipersgat",ondiep stilstaand water
muistroom,,stroming in het water nabij de kust die zeewaarts gericht is
nevenspoor,"arm, nevenspoor, rivierarm",deel van een rivier dat zijn water uit de hoofdrivier ontvangt
zwervelinge,"wervel, waterwervel, wiel, wieling, wolf, zwervelinge",
bekkespring,"beekbron, bekkespring, born, kwik",plaats waar een beek ontspringt
veenstroom,,natuurlijke waterloop in een veengebied
fivelstroom,"fivelstroom, oceaan, wereldzee",zee tussen werelddelen
lieskemeer,"lieskemeer, scheld, scheldmeer, schildmeer",ondiepe waterplas
riviertak,"raai, riviertak, tak, vertakking",deel van een rivier dat zijn water uit de hoofdrivier ontvangt
fontein,"conduit, fontein, giesser, girande, quicborne","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
kanjel,"kandel, kanjel",waterloopje
liman,,meer dat gevormd is aan de monding van een rivier waar de stroom is geblokkeerd door een ophoping van sediment
nauw,"hals, nauw, nauwte, passage, waterkeel","plaatselijke versmalling van het vaarwater of een doorgang naar groot vaarwater, een meer o.i.d."
sijpe,"sieb, siepsloot, sijpe, ziep, zijp, zijpe",kleine waterloop voor afstromend water
keer,"bad, cadier, keer, therme",plaats met warm thermisch water
rei,"del, kolk, rei, slat",ondiep stilstaand water
vork,"bifurcatie, splitsing, vork",plaats waar een beek of rivier zich splitst
poel,"most, plas, plomp, poel",ondiep stilstaand water
sluuf,"sloe, slofter, slufter, sluuf, spui",getijdegeul die vanuit zee door een gat in de duinen naar binnen stroomt 
